Job #,Borough,House #,Street Name,GIS_NTA_NAME
140915936,MANHATTAN,175,EAST 93RD STREET,Upper East Side-Carnegie Hill
340737929,BROOKLYN,6706,16TH AVE,Bensonhurst West
440601733,QUEENS,82-20,AUSTIN STREET,Kew Gardens
340737901,BROOKLYN,130,3RD STREET,Carroll Gardens-Columbia Street-Red Hook
240275910,BRONX,2184,CEDAR AVENUE,University Heights-Morris Heights
440601706,QUEENS,219-35,74TH AVENUE,Oakland Gardens
440601724,QUEENS,117-02B,MERRICK BOULEVARD,St. Albans
123921649,MANHATTAN,1594,2 AVENUE,Yorkville
322050748,BROOKLYN,859,WILLIAMS AVENUE,Canarsie
440601742,QUEENS,22-17,HARMON STREET,Ridgewood
140915990,MANHATTAN,350,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
340737938,BROOKLYN,8701,SHORE ROAD,Bay Ridge
123920622,MANHATTAN,300,EAST 83 ST,Yorkville
140915954,MANHATTAN,141,WOOSTER STREET,SoHo-TriBeCa-Civic Center-Little Italy
201204286,BRONX,260,WEST KINGSBRIDGE RD.,Kingsbridge Heights
140916025,MANHATTAN,224,8 AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
401469077,QUEENS,217-20,39 AVENUE,Bayside-Bayside Hills
401590257,QUEENS,18-39,42 STREET,Steinway
410081352,QUEENS,67-05,170TH STREET,Pomonok-Flushing Heights-Hillcrest
140881810,MANHATTAN,67,VESTRY STREET,SoHo-TriBeCa-Civic Center-Little Italy
310123381,BROOKLYN,245,JEFFERSON AVENUE,Bedford
140916007,MANHATTAN,140,DYCKMAN ST,Washington Heights North
402065732,QUEENS,197-20,47 AVENUE,Auburndale
402620721,QUEENS,53-19GAR,65 PLACE,Maspeth
320025557,BROOKLYN,1824,WEST 4 STREET,Bensonhurst East
120122811,MANHATTAN,121,EAST 95TH STREET,Upper East Side-Carnegie Hill
120133131,MANHATTAN,200,VESEY STREET,Battery Park City-Lower Manhattan
420101525,QUEENS,6-07,150 PLACE,Whitestone
220047848,BRONX,3825,CORLEAR AVENUE,Spuyten Duyvil-Kingsbridge
120315907,MANHATTAN,161,CANAL STREET,SoHo-TriBeCa-Civic Center-Little Italy
420273420,QUEENS,32-15,60 STREET,Woodside
220093627,BRONX,280,EAST 161 STREET,East Concourse-Concourse Village
120514461,MANHATTAN,167,WEST 80 STREET,Upper West Side
120514461,MANHATTAN,167,WEST 80 STREET,Upper West Side
420461039,QUEENS,71-02,113 STREET,Forest Hills
120825759,MANHATTAN,240,EAST 38 STREET,Murray Hill-Kips Bay
120825759,MANHATTAN,240,EAST 38 STREET,Murray Hill-Kips Bay
120828523,MANHATTAN,240,EAST 38 STREET,Murray Hill-Kips Bay
120828523,MANHATTAN,240,EAST 38 STREET,Murray Hill-Kips Bay
420553742,QUEENS,65-15,ALDERTON STREET,Rego Park
121161508,MANHATTAN,240,EAST 38TH STREET,Murray Hill-Kips Bay
121161508,MANHATTAN,240,EAST 38TH STREET,Murray Hill-Kips Bay
120704513,MANHATTAN,2395,FREDRICK DOUGLAS BLVD,Central Harlem North-Polo Grounds
520106714,STATEN ISLAND,227,ANDERSON STREET,Stapleton-Rosebank
121176770,MANHATTAN,747,3RD AVENUE,Turtle Bay-East Midtown
302565855,BROOKLYN,713,CATON AVENUE,Windsor Terrace
320586139,BROOKLYN,287,MASPETH AVE,East Williamsburg
121326172,MANHATTAN,166,AVE OF AMERICAS,SoHo-TriBeCa-Civic Center-Little Italy
121571405,MANHATTAN,1570,SAINT NICHOLAS AVENUE,Washington Heights North
420827500,QUEENS,14-21,COLLEGE POINT BLVD.,College Point
121326172,MANHATTAN,166,AVE OF AMERICAS,SoHo-TriBeCa-Civic Center-Little Italy
420811090,QUEENS,71-19,66 DRIVE,Middle Village
121326172,MANHATTAN,166,AVE OF AMERICAS,SoHo-TriBeCa-Civic Center-Little Italy
220289603,BRONX,936,EAST 169TH STREET,Morrisania-Melrose
220322229,BRONX,1776,EASTCHESTER ROAD,Van Nest-Morris Park-Westchester Square
220325413,BRONX,1776,EASTCHESTER ROAD,Van Nest-Morris Park-Westchester Square
220325404,BRONX,1776,EASTCHESTER ROAD,Van Nest-Morris Park-Westchester Square
220324110,BRONX,1776,EASTCHESTER ROAD,Van Nest-Morris Park-Westchester Square
220325440,BRONX,1776,EASTCHESTER ROAD,Van Nest-Morris Park-Westchester Square
121827130,MANHATTAN,500,EAST 83 STREET,Yorkville
121848590,MANHATTAN,361,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
320949649,BROOKLYN,7317,18 AVE,Bensonhurst West
320949649,BROOKLYN,7317,18 AVE,Bensonhurst West
320949649,BROOKLYN,7317,18 AVE,Bensonhurst West
520189331,STATEN ISLAND,34,JOLINE AVENUE,Charleston-Richmond Valley-Tottenville
420967751,QUEENS,150-50,COHANCY STREET,Ozone Park
420986598,QUEENS,39-04,103 STREET,North Corona
220391332,BRONX,1776,EASTCHESTER ROAD,Van Nest-Morris Park-Westchester Square
320994607,BROOKLYN,1777,OCEAN AVE,Midwood
220394160,BRONX,1776,EASTCHESTER ROAD,Van Nest-Morris Park-Westchester Square
320936001,BROOKLYN,961,WASHINGTON AVE,Crown Heights South
121185528,MANHATTAN,250,SOUTH STREET,Lower East Side
122085206,MANHATTAN,35,SUTTON PLACE,Turtle Bay-East Midtown
520137806,STATEN ISLAND,1190,CASTLETON AVE,West New Brighton-New Brighton-St. George
321038630,BROOKLYN,153,BAY 49 STREET,Gravesend
440195254,QUEENS,47-53,159 ST.,East Flushing
122262461,MANHATTAN,119,5TH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
321079435,BROOKLYN,41,BLUE SLIP,Greenpoint
321042616,BROOKLYN,869,MYRTLE AVE,Bedford
421073956,QUEENS,26,HUDSON WALK,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
321023389,BROOKLYN,825,39TH STREET,Sunset Park East
321043385,BROOKLYN,799,LINCOLN AVENUE,East New York
321043385,BROOKLYN,799,LINCOLN AVENUE,East New York
321140617,BROOKLYN,9901,SHORE ROAD,Bay Ridge
122428346,MANHATTAN,22,EAST 38 STREET,Murray Hill-Kips Bay
122430547,MANHATTAN,721,FIFTH AVENUE,Midtown-Midtown South
122430547,MANHATTAN,721,FIFTH AVENUE,Midtown-Midtown South
321120666,BROOKLYN,115,ROGERS AVE,Crown Heights North
320625230,BROOKLYN,949,FLATBUSH AVENUE,Erasmus
220427964,BRONX,488,EAST 164 STREET,Morrisania-Melrose
321152827,BROOKLYN,1461,58 STREET,Borough Park
520214250,STATEN ISLAND,3067,RICHMOND ROAD,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
520214250,STATEN ISLAND,3067,RICHMOND ROAD,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
321205557,BROOKLYN,2335,BATH AVENUE,Bensonhurst East
321211871,BROOKLYN,1611,BROOKLYN AVE,East Flatbush-Farragut
321209517,BROOKLYN,4202,AVE T,Georgetown-Marine Park-Bergen Beach-Mill Basin
122479255,MANHATTAN,1249,5 AVENUE,East Harlem South
321231412,BROOKLYN,29,WEST STREET,Greenpoint
140369946,MANHATTAN,346,WEST 47 STREET,Clinton
122481741,MANHATTAN,315,EAST 46TH STREET,Turtle Bay-East Midtown
421213181,QUEENS,80-39,213 STREET,Oakland Gardens
122519088,MANHATTAN,570,BROOME STREET,SoHo-TriBeCa-Civic Center-Little Italy
122541703,MANHATTAN,546,W 207 STREET,Marble Hill-Inwood
122542347,MANHATTAN,127,WEST 119TH STREET,Central Harlem South
122566712,MANHATTAN,3405,BROADWAY,Hamilton Heights
120952530,MANHATTAN,327,EAST 84TH STREET,Yorkville
321211871,BROOKLYN,1611,BROOKLYN AVE,East Flatbush-Farragut
421239733,QUEENS,22-50,37 STREET,Steinway
321249957,BROOKLYN,152,SACKMAN STREET,Ocean Hill
321307073,BROOKLYN,241,BAINBRIDGE STREET,Crown Heights North
520263223,STATEN ISLAND,94,ELM STREET,West New Brighton-New Brighton-St. George
103649045,MANHATTAN,525,EAST HOUSTON STREET,Lower East Side
340364082,BROOKLYN,530,MONROE  STREET,Stuyvesant Heights
321323509,BROOKLYN,213,LEWIS AVENUE,Stuyvesant Heights
321368024,BROOKLYN,244,SCHOLES STREET,Bushwick South
321368024,BROOKLYN,244,SCHOLES STREET,Bushwick South
321368024,BROOKLYN,244,SCHOLES STREET,Bushwick South
220523002,BRONX,2264,MORRIS AVENUE,Fordham South
140520238,MANHATTAN,71,4 AVENUE,East Village
340402200,BROOKLYN,334,EAST 7TH STREET,Kensington-Ocean Parkway
321416133,BROOKLYN,860,EAST 35TH STREET,East Flatbush-Farragut
122877324,MANHATTAN,558,WEST 150TH STREET,Hamilton Heights
122877324,MANHATTAN,558,WEST 150TH STREET,Hamilton Heights
220550794,BRONX,3555,OLINVILLE AVENUE,Williamsbridge-Olinville
122886966,MANHATTAN,200,AMSTERDAM AVENUE,Lincoln Square
321365018,BROOKLYN,4,CYRUS AVENUE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
321263529,BROOKLYN,921,57 STREET,Borough Park
321195069,BROOKLYN,314,SCHOLES STREET,Bushwick South
122847241,MANHATTAN,301,EAST 80TH STREET,Yorkville
440356222,QUEENS,27-25,1ST STREET,Old Astoria
340450443,BROOKLYN,692,PUTNAM AVENUE,Stuyvesant Heights
122938250,MANHATTAN,1407,MADISON AVENUE,East Harlem South
122968262,MANHATTAN,160,EAST 95TH ST.,Upper East Side-Carnegie Hill
122989070,MANHATTAN,123,WEST 20 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
122982406,MANHATTAN,250,WEST 63RD STREET,Lincoln Square
321229826,BROOKLYN,340,HUDSON WALK,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
421414856,QUEENS,199-46,KENO AVENUE,Jamaica Estates-Holliswood
421385780,QUEENS,91-01,JAMAICA AVENUE,Woodhaven
122994224,MANHATTAN,614,WEST 131ST STREET,Manhattanville
340466748,BROOKLYN,121,NORTH   1ST   STREET,North Side-South Side
321516962,BROOKLYN,672,POWELL STREET,Brownsville
321517738,BROOKLYN,1373,GREENE AVENUE,Bushwick North
340474472,BROOKLYN,1296,PARK PLACE,Crown Heights North
220584008,BRONX,1230,FRANKLIN AVENUE,Morrisania-Melrose
520293138,STATEN ISLAND,82,WHITEWOOD AVENUE,New Brighton-Silver Lake
122984841,MANHATTAN,63,GREENE STREET,SoHo-TriBeCa-Civic Center-Little Italy
321535013,BROOKLYN,1458,BEDFORD AVENUE,Crown Heights North
421454795,QUEENS,47-11,AUSTELL PLACE,Hunters Point-Sunnyside-West Maspeth
123040093,MANHATTAN,418,WEST 17 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123086659,MANHATTAN,1271,AVENUE OF THE AMERICAS,Midtown-Midtown South
321186818,BROOKLYN,5610,9 AVE,Sunset Park East
321539439,BROOKLYN,19,PATCHEN AVENUE,Stuyvesant Heights
220589487,BRONX,610,EAST 186TH STREET,Belmont
421456258,QUEENS,14-40,31 AVE.,Astoria
123085106,MANHATTAN,1001,6TH AVENUE,Midtown-Midtown South
123037597,MANHATTAN,2,SICKLES STREET,Washington Heights North
123095033,MANHATTAN,22,CORTLANDT STREET,Battery Park City-Lower Manhattan
123095033,MANHATTAN,22,CORTLANDT STREET,Battery Park City-Lower Manhattan
123095033,MANHATTAN,22,CORTLANDT STREET,Battery Park City-Lower Manhattan
321574649,BROOKLYN,127,27TH AVENUE,Gravesend
421107849,QUEENS,229-02,137TH AVE,Laurelton
121275280,MANHATTAN,2,LINCOLN SQUARE,Lincoln Square
421480061,QUEENS,87-48,SANTIAGO STREET,Jamaica Estates-Holliswood
121242155,MANHATTAN,30,MORNINGSIDE DRIVE,Morningside Heights
321626692,BROOKLYN,476,EAST 18TH STREET,Flatbush
321606892,BROOKLYN,163,NORTH 6 ST,North Side-South Side
321587920,BROOKLYN,48,JEFFERSON STREET,Bushwick South
123297761,MANHATTAN,560,WEST 43RD STREET,Clinton
421485841,QUEENS,217-17,102ND AVE,Queens Village
321194319,BROOKLYN,4319,3RD AVE,Sunset Park West
123308278,MANHATTAN,405,CENTRAL PARK WEST,Upper West Side
302575185,BROOKLYN,145,PENNSYLVANIA AVENUE,East New York (Pennsylvania Ave)
340535399,BROOKLYN,700,ST MARKS AVE,Crown Heights North
123110846,MANHATTAN,650,WEST 168 STREET,Washington Heights South
123138700,MANHATTAN,650,WEST 168 STREET,Washington Heights South
321518112,BROOKLYN,989,EAST 9TH STREET,Midwood
321194284,BROOKLYN,4313,3RD AVE,Sunset Park West
421553090,QUEENS,70-35,110 STREET,Forest Hills
