Job #,Borough,Street Name,GIS_NTA_NAME
140915936,MANHATTAN,EAST 93RD STREET,Upper East Side-Carnegie Hill
340737929,BROOKLYN,16TH AVE,Bensonhurst West
440601733,QUEENS,AUSTIN STREET,Kew Gardens
340737901,BROOKLYN,3RD STREET,Carroll Gardens-Columbia Street-Red Hook
240275910,BRONX,CEDAR AVENUE,University Heights-Morris Heights
440601706,QUEENS,74TH AVENUE,Oakland Gardens
440601724,QUEENS,MERRICK BOULEVARD,St. Albans
123921649,MANHATTAN,2 AVENUE,Yorkville
322050748,BROOKLYN,WILLIAMS AVENUE,Canarsie
440601742,QUEENS,HARMON STREET,Ridgewood
140915990,MANHATTAN,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
140915992,QUEENS,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
340737938,BROOKLYN,SHORE ROAD,Bay Ridge
123920622,MANHATTAN,EAST 83 ST,Yorkville
140915954,MANHATTAN,WOOSTER STREET,SoHo-TriBeCa-Civic Center-Little Italy
201204286,BRONX,WEST KINGSBRIDGE RD.,Kingsbridge Heights
140916025,MANHATTAN,8 AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
401469077,QUEENS,39 AVENUE,Bayside-Bayside Hills
401590257,QUEENS,42 STREET,Steinway
410081352,QUEENS,170TH STREET,Pomonok-Flushing Heights-Hillcrest
140881810,MANHATTAN,VESTRY STREET,SoHo-TriBeCa-Civic Center-Little Italy
310123381,BROOKLYN,JEFFERSON AVENUE,Bedford
140916007,MANHATTAN,DYCKMAN ST,Washington Heights North
402065732,QUEENS,47 AVENUE,Auburndale
402620721,QUEENS,65 PLACE,Maspeth
320025557,BROOKLYN,WEST 4 STREET,Bensonhurst East
120122811,MANHATTAN,EAST 95TH STREET,Upper East Side-Carnegie Hill
120133131,MANHATTAN,VESEY STREET,Battery Park City-Lower Manhattan
420101525,QUEENS,150 PLACE,Whitestone
220047848,BRONX,CORLEAR AVENUE,Spuyten Duyvil-Kingsbridge
120315907,MANHATTAN,CANAL STREET,SoHo-TriBeCa-Civic Center-Little Italy
420273420,QUEENS,60 STREET,Woodside
220093627,BRONX,EAST 161 STREET,East Concourse-Concourse Village
120514461,MANHATTAN,WEST 80 STREET,Upper West Side
120514461,MANHATTAN,WEST 80 STREET,Upper West Side
420461039,QUEENS,113 STREET,Forest Hills
120825759,MANHATTAN,EAST 38 STREET,Murray Hill-Kips Bay
120825759,MANHATTAN,EAST 38 STREET,Murray Hill-Kips Bay
120828523,MANHATTAN,EAST 38 STREET,Murray Hill-Kips Bay
120828523,MANHATTAN,EAST 38 STREET,Murray Hill-Kips Bay
420553742,QUEENS,ALDERTON STREET,Rego Park
121161508,MANHATTAN,EAST 38TH STREET,Murray Hill-Kips Bay
121161508,MANHATTAN,EAST 38TH STREET,Murray Hill-Kips Bay
120704513,MANHATTAN,FREDRICK DOUGLAS BLVD,Central Harlem North-Polo Grounds
