descriptor,borough,city,street
"No Parking, Standing, Stopping",MANHATTAN,NEW YORK,BARCLAY STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,EBONY COURT
Stop,BROOKLYN,BROOKLYN,86 STREET
Stop,BROOKLYN,BROOKLYN,86 STREET
Stop,STATEN ISLAND,STATEN ISLAND,WINCHESTER AVENUE
Stop,QUEENS,FLUSHING,169 STREET
Stop,STATEN ISLAND,STATEN ISLAND,MOSEL AVENUE
N/A,MANHATTAN,NEW YORK,FRONT STREET
Driver Complaint,MANHATTAN,NEW YORK,BROADWAY
N/A,MANHATTAN,NEW YORK,WEST 4 STREET
Unsafe Worksite,QUEENS,MASPETH,BEND
Driver Complaint,BROOKLYN,BROOKLYN,42 STREET
Dead Animal,MANHATTAN,,WEST 125TH ST
"No Parking, Standing, Stopping",QUEENS,RICHMOND HILL,112 STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,5 AVENUE
Plate Condition - Shifted,QUEENS,FOREST HILLS,YELLOWSTONE BOULEVARD
Plate Condition - Shifted,QUEENS,FOREST HILLS,UNION TURNPIKE
Stop,BROOKLYN,,E 9 ST
"No Parking, Standing, Stopping",QUEENS,FLUSHING,COLDEN STREET
Driver Complaint,MANHATTAN,NEW YORK,MADISON AVENUE
Unsafe Worksite,STATEN ISLAND,STATEN ISLAND,WOODROW ROAD
In Public,BROOKLYN,BROOKLYN,AVENUE P
"No Parking, Standing, Stopping",QUEENS,ROSEDALE,MENTONE AVENUE
Plate Condition - Shifted,QUEENS,,38 AVENUE
Stop,BRONX,BRONX,CROSS BRONX EXPRESSWAY
Stop,STATEN ISLAND,STATEN ISLAND,TYSENS LANE
Other,MANHATTAN,NEW YORK,7 AVENUE
Stop,STATEN ISLAND,,PURDY AVE
Driver Complaint,MANHATTAN,NEW YORK,PARK AVENUE
Driver Complaint,BROOKLYN,BROOKLYN,18 STREET
N/A,MANHATTAN,NEW YORK,HENRY STREET
Plate Condition - Shifted,QUEENS,RIDGEWOOD,78 ROAD
Dead Animal,QUEENS,,26TH AVENUE
Driver Complaint,MANHATTAN,NEW YORK,MADISON AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 49 STREET
Dead Animal,QUEENS,,VAN WYCK EXPRESSWAY EXIT
One Way,QUEENS,JAMAICA,DILLON STREET
Driver Complaint,MANHATTAN,NEW YORK,EAST 55 STREET
Unsafe Worksite,BRONX,BRONX,WEST 161 STREET
One Way,MANHATTAN,NEW YORK,WEST 95 STREET
Unsafe Worksite,BROOKLYN,BROOKLYN,55 STREET
Stop,QUEENS,OAKLAND GARDENS,232 STREET
Plate Condition - Shifted,QUEENS,JAMAICA,GRAND CENTRAL PARKWAY
In Public,QUEENS,CORONA,LARUE AVENUE
Snow or Ice,STATEN ISLAND,STATEN ISLAND,SLOSSON TERRACE
Snow or Ice,BRONX,BRONX,FREEMAN STREET
Snow or Ice,BROOKLYN,BROOKLYN,SOUTH 5 STREET
Stop,QUEENS,FRESH MEADOWS,161 STREET
Plate Condition - Shifted,QUEENS,FLUSHING,164 STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 25 STREET
Stop,QUEENS,MIDDLE VILLAGE,79 STREET
Driver Complaint,MANHATTAN,,BARRYSTREET
Tree Damage or Arborcide,BROOKLYN,BROOKLYN,EAST 3 STREET
One Way,BROOKLYN,BROOKLYN,WEST 9 STREET
In Public,QUEENS,CORONA,LARUE AVENUE
Vehicle Complaint,MANHATTAN,NEW YORK,WEST 39 STREET
N/A,MANHATTAN,NEW YORK,WEST 41 STREET
Letter Verifying Traffic,BRONX,BRONX,STORY AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 140 STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,WEST END AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 3 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,FARRAGUT ROAD
Driver Complaint,MANHATTAN,NEW YORK,WEST 39 STREET
Driver Complaint,MANHATTAN,NEW YORK,EAST 75 STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 149 STREET
Letter Verifying Traffic,MANHATTAN,,E 125 ST
Stop,QUEENS,MIDDLE VILLAGE,77 STREET
One Way,QUEENS,JAMAICA,169 STREET
Plate Condition - Shifted,QUEENS,BAYSIDE,216 STREET
Driver Complaint,BROOKLYN,BROOKLYN,7 AVENUE
Stop,QUEENS,LITTLE NECK,VAN ZANDT AVENUE
Vehicle Complaint,MANHATTAN,NEW YORK,EAST 16 STREET
Graffiti or Vandalism,QUEENS,MASPETH,JAY AVENUE
"No Parking, Standing, Stopping",BRONX,BRONX,BURKE AVENUE
Driver Complaint,MANHATTAN,NEW YORK,EAST 23 STREET
Snow or Ice,MANHATTAN,NEW YORK,WEST 90 STREET
Unsafe Worksite,MANHATTAN,NEW YORK,WEST BROADWAY
Tree Damage or Arboricide,MANHATTAN,,2ND AVENUE
Dead Animal,BRONX,,HENRY HUDSON PKWY WEST
Driver Complaint,MANHATTAN,NEW YORK,LIBERTY STREET
"No Parking, Standing, Stopping",QUEENS,FLUSHING,PRINCE STREET
"No Parking, Standing, Stopping",QUEENS,FLUSHING,41 ROAD
Driver Complaint,MANHATTAN,NEW YORK,WEST 69 STREET
Unsafe Worksite,BRONX,,WHITE PLAINS ROAD
Curb Painted,BROOKLYN,BROOKLYN,82 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,NOSTRAND AVENUE
Stop,STATEN ISLAND,STATEN ISLAND,BEND
Plate Condition - Shifted,MANHATTAN,NEW YORK,WEST END AVENUE
Plate Condition - Shifted,BROOKLYN,BROOKLYN,SNYDER AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 73 STREET
Stop,QUEENS,HOWARD BEACH,153 AVENUE
Stop,STATEN ISLAND,STATEN ISLAND,WOODS OF ARDEN ROAD
Stop,QUEENS,MASPETH,DEAD END
"No Parking, Standing, Stopping",QUEENS,COLLEGE POINT,129 STREET
Driver Complaint,MANHATTAN,NEW YORK,EAST 70 STREET
N/A,QUEENS,FAR ROCKAWAY,CORNAGA AVENUE
Plate Condition - Shifted,STATEN ISLAND,STATEN ISLAND,NELSON AVENUE
Stop,MANHATTAN,NEW YORK,WASHINGTON STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,WEST 3 STREET
Damaged Telephone,MANHATTAN,NEW YORK,WEST 162 STREET
"No Parking, Standing, Stopping",BRONX,BRONX,KATONAH AVENUE
Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND,ROE STREET
N/A,MANHATTAN,NEW YORK,6 AVENUE
Unsafe Worksite,MANHATTAN,,GREENWICH
Stop,QUEENS,MIDDLE VILLAGE,77 STREET
Unsafe Worksite,QUEENS,FOREST HILLS,AUSTIN STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 71 STREET
Driver Complaint,QUEENS,QUEENS,93 STREET
Plate Condition - Shifted,QUEENS,QUEENS VILLAGE,WINCHESTER BOULEVARD
Driver Complaint,MANHATTAN,NEW YORK,1 AVENUE
"No Parking, Standing, Stopping",MANHATTAN,NEW YORK,STATE STREET
Snow or Ice,BROOKLYN,BROOKLYN,MILLER AVENUE
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST 66 STREET
Stop,QUEENS,HOWARD BEACH,155 AVENUE
Vehicle Complaint,MANHATTAN,NEW YORK,EAST 68 STREET
Stop,QUEENS,FRESH MEADOWS,164 STREET
Dead Animal,QUEENS,,EXIT 21
Stop,BROOKLYN,BROOKLYN,BENSON AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 39 STREET
Unsafe Worksite,BROOKLYN,BROOKLYN,CLARKSON AVENUE
Stop,STATEN ISLAND,STATEN ISLAND,DELAFIELD AVENUE
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST 38 STREET
N/A,MANHATTAN,NEW YORK,BROADWAY
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,WEST STREET
Food Spoiled,BROOKLYN,BROOKLYN,55 STREET
