phone	company_name	sub_subindustry	subindustry	website	location_1/human_address/address
"(212) 239-6200"	Al Hirschfeld Theater	League	Theater		
212-586-7829 x304	The World Famous Laugh Factory		Comedy Club		
"(212) 239-2820"	Bernard B. Jacobs Theatre	League	Theater		
212 239-6200	Music Box Theater	League	Theater		
"(212) 944-9457"	Helen Hayes Theatre	League	Theater		
212 489-7656	Touch Nightclub		Nightclub		
""	Hawthorne Amusement		Attractions / Amusement		
"(212) 840-7761"	Regal Loews Cinemas 42nd Street E-Walk Theater		Movies	www.regmovies.com	
"(212) 840-8181"	Jujamcyn Theater	League	Theater		
"(212) 239-6200"	St. James Theatre	League	Theater		
"(815) 477-5076"	Imperial Theatre	League	Theater		
"(212) 819-9300"	Cheetahs		Nightclub	www.cheetahnyc.com	
"(212) 719-4099"	Brooks Atkinson Theatre	League	Theater	http://www.brooksatkinsontheater.com/	
"(212) 399-3000 x 5401"	Freidman Theatre	Broadway - Non-League	Theater		
212 239-6200	Lyceum Theater	League	Theater		
212-398-3133	Ripley's Believe It Or Not!		Attractions / Amusement	www.ripleysnewyork.com	
2129443700	Shubert Theatre	League	Theater		
"(212) 246-8140"	St Luke's Theater	Off-Broadway	Theater	http://stlukestheatre.com/	
"(212) 489-7576"	Show World Center Inc.		Nightclub		
"(212) 765-5047"	Lace 2		Nightclub	laceclubs.com	
"(212) 315-5107"	Flash Dancers		Nightclub	http://flashdancersnyc.com/	
"(212) 246-3828"	Snapple Theater (Jerry Orbach Theater)	Broadway - Non-League	Theater	http://www.snappletheater.com	
212-757-0788	Don't Tell Mama		Live Music		
""	Private Storefront		Nightclub		
2123070388	Circle In The Square Theatre	League	Theater		
2129773884	Ha! Comedy Club		Comedy Club	www.hacomedynyc.com	
212-765-0606 x311	American Theatre Wing	Off-Broadway	Theater	http://americantheatrewing.org/	
"(212) 975-6644"	Broadway Theatre	League	Theater		
"(212) 921-8000"	Nederlander Theatre	League	Theater	http://www.nederlandertheatre.com/	
"(212) 282-2900"	New Amsterdam Theater	League	Theater	http://www.newyorkcitytheatre.com/theaters/newamsterdamtheater/theater.php	
"(212) 245-3494"	Vacant (Bare Elegance Gentlemen's Club)		Nightclub	http://www.mentertainment.com/clubs/ny/bare/bare-00.htm	
""	Mixed Emotions Video Rental		Movies		
"(212) 239-2974"	Walter Kerr Theatre	League	Theater		
"(212) 239-6200"	Longacre Theatre	League	Theater		
"(212) 221-1211 \u000E"	Richard Rodgers Theatre	League	Theater	http://www.richardrodgerstheatre.com/	
646-619-8608	TSX: Times Square Expositions		Museums / Galleries		
"(212) 840-8181"	Eugene O'Neill Theatre	League	Theater		
"(212) 398-2597"	AMC Theatres		Movies		
"(212) 869-0550"	Minskoff Theatre	League	Theater	www.minskofftheatre.com	
""	Liberty Theater	Broadway - Non-League	Theater		
"(212) 512-9600"	Madame Tussauds New York		Museums / Galleries	http://www.nycwax.com	
"(212) 930-1950"	Nokia Theatre		Live Music	http://nokiatheatrenyc.com/	
""	Ethel Barrymore	League	Theater		
"(212) 286-5141"	Architectural History Foundation		Museums / Galleries		
""	Samuel J. Friedman Theatre	League	Theater		261 47th St
""	Henry Miller's Theatre	League	Theater		
""	Belasco	League	Theater		
"(212) 262-3030"	Hollywood Theatre		Movies		
"(212) 997-1003"	Town Hall	Nonprofit	Theater		
"(212) 239-2820"	The Cort Theatre	League	Theater	http://www.newyorkcitytheatre.com/theaters/corttheater/theater.php	
2126268472	The Jam		Live Music	www.thejamnyc.com	
"(212) 302-6665 \u000E"	Sage Theater	Off-Broadway	Theater	http://www.sagetheater.us/	
"(212) 764-6969"	Lace		Nightclub		
"(212) 586-7829 \u000E"	Times Square Art Center		Comedy Club	http://timessquareartscenter.com/	
"(212) 239-6200"	Majestic Theatre	League	Theater	http://www.newyorkcitytheatre.com/theaters/majestictheater/theater.php	
"(800) 272-9533"	The Times Center		Lecture Hall	http://thetimescenter.com/	
"(212) 575-9200"	Lunt-Fontanne Theatre	League	Theater	http://luntfontannetheatre.com/	
""	John Golden Theatre	League	Theater		
"(212) 239-6200"	Gerald Schoenfeld Theatre	League	Theater		
"(212) 757-8646"	Neil Simon Theatre	League	Theater	http://www.neilsimontheatre.com/	
"(212) 719-1300 \u000E"	American Airlines Theatre	League	Theater	http://roundabouttheatre.org/	
"(212) 247-0200 \u000E"	Roseland Ballroom		Live Music	http://roselandballroom.com/	
"(212) 239-6200"	Winter Garden Theatre	League	Theater	http://www.wintergarden-theater.com/	
"(212) 586-6510"	Gershwin Theatre	League	Theater	http://www.gershwintheatre.com/	
"(212) 391-8886"	Booth Theatre	League	Theater		
""	Palace Theatre	League	Theater		
"(646) 223-3000"	Duke Theater	Off-Broadway	Theater	http://www.new42.org/duke/duke_home.aspx	
"(212) 382-0100"	Marriott Marquis Theatre	League	Theater	http://www.marquistheatre.com/	
""	Ambassador Theatre	League	Theater		
"(212) 399-2555"	American Craftsman		Museums / Galleries		
"(212) 239-6200"	August Wilson Theatre	League	Theater	http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php	
"(212) 274-8993"	Broadway Galleries		Museums / Galleries	http://www.broadwaygallerynyc.com/	
"(212) 575-5026"	China Club		Nightclub	http://www.chinaclubnyc.com/	
"(212) 757-8255"	Crown Art Gallery		Museums / Galleries	www.sohogallery.com	
"(212) 556-4750"	Foxwoods Theatre	League	Theater		
""	The Duke	Off-Broadway	Theater	http://www.new42.org/duke/duke_home.aspx	
"(212) 757-4100"	Carolines on Broadway		Comedy Club	https://www.carolines.com/	
