RegionName,ZoneName,WoredaName,EthiopianMonth,EthMonNum,EthYear,DeliveredPrivateClinics,DeliveredPublicClinics,DeliveredOther,DeliveredTotal
Oromia,East Wellega,Guto Gida,Ginbot,9,2009,20,16,29,65
Oromia,Guji,Adola Reda,Tir,5,2010,31,34,69,134
Oromia,Borena,Yabelo Rural,Tahesas,4,2011,0,18,16,34
Oromia,North Shewa,Kimbibit,Hedar,3,2010,33,68,58,159
Oromia,Jimma,Nono Benja,Ginbot,9,2009,64,45,12,121
Oromia,Arsi,Aseko,Sene,10,2010,39,70,10,119
Oromia,West Wellega,Nejo Town,Hedar,3,2011,74,63,57,194
Oromia,Borena,El Way,Megabit,7,2009,12,14,43,69
Oromia,West Guji,Bule Hora,Nehase,12,2009,43,18,42,103
Oromia,Borena,Moyale,Ginbot,9,2011,83,94,89,266
Oromia,West Wellega,Gimbi Public  Hospital,Yekatit,6,2011,94,18,47,159
Oromia,East Hararge,Gole Oda,Meskerem,1,2010,94,85,52,231
Oromia,Woliso Town,Woliso Town,Hedar,3,2011,46,63,20,129
Oromia,Arsi,Gololcha,Miyazia,8,2010,72,53,84,209
Oromia,Qeleme Wellega,Gawo Qebe,Sene,10,2010,84,69,79,232
Oromia,Finfine Zuria,Walmera,Meskerem,1,2010,27,40,21,88
Oromia,East Wellega,Leqa Dulecha,Tir,5,2011,76,91,6,173
Oromia,West Shewa,Gojo Hospital,Ginbot,9,2011,63,94,43,200
Oromia,East Hararge,Haromaya Rural,Meskerem,1,2011,91,84,67,242
Oromia,West Guji,Abaya,Yekatit,6,2010,35,30,55,120
Oromia,Guji,Bore Hospital,Nehase,12,2010,44,30,51,125
Oromia,East Wellega,Guto Gida,Megabit,7,2009,90,30,15,135
Oromia,Borena,Moyale Hospital,Hamle,11,2010,86,99,59,244
Oromia,Burayu Town,Burayu Town,Miyazia,8,2009,63,48,6,117
Oromia,West Shewa,Chelia,Miyazia,8,2011,91,14,84,189
Oromia,Qeleme Wellega,Dale Sedi,Hedar,3,2010,77,82,77,236
Oromia,Qeleme Wellega,Hawa Gelan Hosp,Tir,5,2011,0,66,32,98
Oromia,East Shewa,Fentale,Megabit,7,2009,66,35,15,116
Oromia,Horo Gudru Wellega,Amuru,Tahesas,4,2010,50,50,23,123
Oromia,Finfine Zuria,Akaki,Sene,10,2009,84,39,73,196
Oromia,West Wellega,Yubdo,Hedar,3,2011,98,9,21,128
Oromia,West Shewa,Ejersa Lafo,Yekatit,6,2009,70,59,73,202
Oromia,West Hararge,Tulo,Tahesas,4,2010,63,49,8,120
Oromia,North Shewa,Kuyu,Tahesas,4,2011,29,96,57,182
Oromia,West Wellega,Mendi Town,Nehase,12,2009,79,11,91,181
Oromia,East Hararge,Chinakesen,Nehase,12,2010,1,26,91,118
Oromia,West Hararge,Tulo,Meskerem,1,2010,56,47,13,116
Oromia,Arsi,Enkelo Wabe,Hedar,3,2010,27,61,41,129
Oromia,Borena,Moyale,Sene,10,2011,2,88,48,138
Oromia,Modjo Town,Modjo Town,Hamle,11,2010,91,0,24,115
Oromia,East Shewa,Boset,Nehase,12,2009,44,68,5,117
Oromia,Arsi,Deksis,Yekatit,6,2009,89,50,98,237
Oromia,Guji,Girja,Meskerem,1,2010,43,39,17,99
Oromia,West Wellega,Guliso,Hedar,3,2010,31,35,21,87
Oromia,West Wellega,Jarso,Hedar,3,2010,71,66,6,143
Oromia,West Wellega,Gimbi Adventist Hospital,Tahesas,4,2010,3,16,19,38
Oromia,West Shewa,Ejersa Lafo,Tir,5,2009,9,38,79,126
Oromia,Bale,Goba Town,Tahesas,4,2011,16,6,3,25
Oromia,Bale,Goba Town,Nehase,12,2009,5,38,32,75
Oromia,West Shewa,Tibe Kutaye,Yekatit,6,2011,91,59,4,154
Oromia,East Wellega,Leqa Dulecha,Tir,5,2010,99,72,18,189
Oromia,South West Shewa,St.Luke Hospital,Tir,5,2011,63,71,88,222
Oromia,West Shewa,Midakegni,Yekatit,6,2009,39,81,94,214
Oromia,West Shewa,Codi,Sene,10,2010,69,72,56,197
Oromia,West Shewa,Adea Berga,Tir,5,2011,73,34,92,199
Oromia,Horo Gudru Wellega,Gudru,Tir,5,2010,74,31,13,118
Oromia,East Wellega,Boneya Bushe,Tir,5,2011,89,18,7,114
Oromia,Ilu Aba Bora,Bilonopa,Tir,5,2009,12,42,10,64
Oromia,West Arsi,Adaba,Yekatit,6,2010,10,97,78,185
Oromia,South West Shewa,St.Luke Hospital,Hedar,3,2010,38,77,67,182
Oromia,Finfine Zuria,Berreh,Meskerem,1,2010,15,33,67,115
Oromia,West Shewa,Ejersa Lafo,Tir,5,2010,41,98,26,165
Oromia,Jimma,Gera,Nehase,12,2010,18,29,87,134
Oromia,Guji,Aga Wayyu,Ginbot,9,2011,85,36,18,139
Oromia,West Hararge,Meiso,Teqemt,2,2010,92,6,0,98
Oromia,Bale,Meda Welabu,Sene,10,2009,80,15,47,142
Oromia,Bale,Raitu,Nehase,12,2009,59,8,90,157
Oromia,Bale,Goro,Yekatit,6,2009,24,86,81,191
Oromia,Lege Dadi Lege Tafo Town,Lege Dadi Lege Tafo Town,Tahesas,4,2011,6,67,15,88
Oromia,West Wellega,Nejo Rural,Megabit,7,2009,47,72,0,119
Oromia,Buno Bedele,Diga,Meskerem,1,2010,98,54,45,197
Oromia,West Shewa,Midakegni,Ginbot,9,2010,60,49,65,174
Oromia,West Shewa,Ilu Galan,Sene,10,2010,64,50,90,204
Oromia,Borena,Guchi,Sene,10,2009,74,18,16,108
Oromia,Horo Gudru Wellega,Hababo Guduru,Tir,5,2011,47,0,91,138
Oromia,West Wellega,Begi Hospital,Megabit,7,2010,40,89,19,148
Oromia,Dukem Town,Dukem Town,Ginbot,9,2010,2,72,48,122
Oromia,West Shewa,Dendi,Sene,10,2010,14,2,81,97
Oromia,Jimma,Omonada,Yekatit,6,2010,14,69,14,97
Oromia,Guji,Goro Dola,Ginbot,9,2010,57,95,6,158
Oromia,South West Shewa,Ameya,Teqemt,2,2011,83,27,15,125
Oromia,West Wellega,Nejo Town,Meskerem,1,2011,57,33,25,115
Oromia,Arsi,Merti,Teqemt,2,2010,65,62,82,209
Oromia,East Hararge,Girawa,Teqemt,2,2010,15,98,99,212
Oromia,Arsi,Ludehetosa,Miyazia,8,2010,37,3,51,91
Oromia,Bale,Legehida,Tahesas,4,2011,11,1,25,37
Oromia,West Arsi,Gedeb Asasa,Tir,5,2011,37,9,2,48
Oromia,Arsi,Aseko,Sene,10,2009,5,1,43,49
Oromia,Qeleme Wellega,Yemalogi Wolel,Miyazia,8,2010,93,83,36,212
Oromia,East Shewa,Bora,Miyazia,8,2011,84,96,65,245
Oromia,East Hararge,Kombolicha,Tir,5,2010,18,55,35,108
Oromia,Qeleme Wellega,Dambi Dollo,Megabit,7,2009,40,93,64,197
Oromia,Jimma,Limu Hospital,Tir,5,2010,54,63,20,137
Oromia,West Arsi,Shala,Hedar,3,2011,74,62,71,207
Oromia,North Shewa,Were Jarso,Teqemt,2,2010,22,36,52,110
Oromia,Ilu Aba Bora,Metu Town,Ginbot,9,2011,66,89,53,208
Oromia,West Shewa,Ambo Hospital,Meskerem,1,2011,30,14,22,66
Oromia,South West Shewa,Sodo Dac'Ha,Yekatit,6,2010,40,83,51,174
Oromia,Bale,Gasera,Nehase,12,2010,30,22,53,105
Oromia,West Shewa,Nono,Sene,10,2011,9,98,12,119
Oromia,North Shewa,Were Jarso,Miyazia,8,2011,33,11,99,143
Oromia,East Shewa,Fentale,Yekatit,6,2010,25,76,4,105
Oromia,Jimma,Omo Nada Hospital,Miyazia,8,2011,97,79,41,217
Oromia,Jimma,Gera,Meskerem,1,2011,71,42,65,178
Oromia,Finfine Zuria,Berreh,Teqemt,2,2011,40,62,31,133
Oromia,South West Shewa,Sodo Dac'Ha,Miyazia,8,2009,49,79,44,172
Oromia,North Shewa,Kuyu,Ginbot,9,2009,69,12,3,84
Oromia,Jimma Spe Town,Jimma Spe Town,Tir,5,2010,66,13,98,177
Oromia,Bale,Legehida,Sene,10,2010,5,90,82,177
Oromia,West Guji,Bule Hora,Hedar,3,2011,35,89,29,153
Oromia,Qeleme Wellega,Laloqile,Ginbot,9,2011,7,23,91,121
Oromia,Bale,Gura Dhamole,Hedar,3,2010,17,78,80,175
Oromia,South West Shewa,Tole,Meskerem,1,2011,9,62,66,137
Oromia,West Hararge,Chiro Town,Teqemt,2,2010,78,31,61,170
Oromia,Guji,Negele Hospital,Sene,10,2009,25,74,97,196
Oromia,Jimma,Seka Chekorsa,Ginbot,9,2011,25,14,78,117
Oromia,Lege Dadi Lege Tafo Town,Lege Dadi Lege Tafo Town,Megabit,7,2010,4,26,42,72
Oromia,Borena,Dubluk,Yekatit,6,2010,71,95,11,177
